LR,Heads,Embeddings,Block Size,Batch Size,Layers,Size,final_loss,total_training_time,Step 0 Loss,Step 100 Loss,Step 200 Loss,Step 300 Loss,Step 400 Loss,Step 500 Loss,Step 600 Loss,Step 700 Loss,Step 800 Loss,Step 900 Loss,Step 1000 Loss,Step 1100 Loss,Step 1200 Loss,Step 1300 Loss,Step 1400 Loss,Step 1500 Loss,Step 1600 Loss,Step 1700 Loss,Step 1800 Loss,Step 1900 Loss,Step 2000 Loss,Step 2100 Loss,Step 2200 Loss,Step 2300 Loss,Step 2400 Loss,Step 2500 Loss,Step 2600 Loss,Step 2700 Loss,Step 2800 Loss,Step 2900 Loss,Step 3000 Loss,Step 3100 Loss,Step 3200 Loss,Step 3300 Loss,Step 3400 Loss,Step 3500 Loss,Step 3600 Loss,Step 3700 Loss,Step 3800 Loss,Step 3900 Loss,Step 4000 Loss,Step 4100 Loss,Step 4200 Loss,Step 4300 Loss,Step 4400 Loss,Step 4500 Loss,Step 4600 Loss,Step 4700 Loss,Step 4800 Loss,Step 4900 Loss,Generated Text
0.0006,12,768,64,64,6,"[4096, 86]",0.22510837018489838,1722.3706197738647,4.6573,2.5229,2.0520,1.7470,1.5413,1.3905,1.2733,1.1724,1.0776,0.9706,0.8752,0.7981,0.7030,0.6238,0.5451,0.4772,0.4172,0.3694,0.3258,0.2972,0.2744,0.2577,0.2453,0.2341,0.2230,0.2181,0.2140,0.2091,0.2043,0.2007,0.1973,0.1942,0.1954,0.1924,0.1911,0.1887,0.1870,0.1867,0.1849,0.1839,0.1839,0.1830,0.1824,0.1813,0.1777,0.1786,0.1804,0.1773,0.1767,0.1758,"shown. Still, he was a full reply from Chief Gratta's tent. ""Have\nChief Gratta confirmed from you, s"
0.0006,12,768,128,64,4,"[8192, 86]",0.12548236548900604,1855.5319647789001,4.6126,2.4480,2.0120,1.6563,1.4144,1.2443,1.0774,0.9282,0.7588,0.6078,0.4701,0.3541,0.2623,0.2122,0.1760,0.1531,0.1393,0.1283,0.1238,0.1193,0.1154,0.1114,0.1100,0.1097,0.1064,0.1048,0.1022,0.1029,0.1011,0.1003,0.0988,0.0984,0.0978,0.0969,0.0964,0.0959,0.0952,0.0943,0.0935,0.0935,0.0935,0.0921,0.0922,0.0915,0.0921,0.0915,0.0909,0.0911,0.0905,0.0904,strong military might will be infiltrated he was\nonce again sto tring all the fied of\nreasing the fa
0.0003,8,512,64,48,4,"[3072, 86]",0.4358851909637451,588.3164684772491,4.6315,2.4414,2.0972,1.8372,1.6881,1.5754,1.4924,1.4200,1.3571,1.3129,1.2535,1.2067,1.1647,1.1166,1.0854,1.0367,0.9971,0.9584,0.9182,0.8786,0.8395,0.8045,0.7709,0.7281,0.6888,0.6555,0.6246,0.5940,0.5616,0.5323,0.5086,0.4803,0.4565,0.4333,0.4128,0.3917,0.3738,0.3581,0.3455,0.3301,0.3205,0.3075,0.2953,0.2829,0.2757,0.2676,0.2633,0.2572,0.2539,0.2454,"to be certurned and began taking his these\nvibrant – had ten guards faint from the body, not even a"
0.0003,8,512,64,48,6,"[3072, 86]",0.34332799911499023,857.299473285675,4.6350,2.4422,2.0903,1.8089,1.6518,1.5267,1.4406,1.3609,1.2921,1.2306,1.1814,1.1227,1.0654,1.0143,0.9667,0.9225,0.8692,0.8230,0.7750,0.7284,0.6799,0.6416,0.5990,0.5625,0.5102,0.4859,0.4559,0.4192,0.3974,0.3738,0.3569,0.3333,0.3208,0.3006,0.2896,0.2849,0.2697,0.2587,0.2497,0.2483,0.2360,0.2290,0.2280,0.2247,0.2202,0.2168,0.2157,0.2110,0.2099,0.2073,made a quaster small as high as well. Arphad was\nright. These willing to match the valley. Surprise
0.0003,8,512,128,48,4,"[6144, 86]",0.22151713073253632,26724.840651750565,4.6793,2.4702,2.2573,1.9523,1.7557,1.6185,1.5177,1.4276,1.3452,1.2742,1.2145,1.1496,1.0903,1.0252,0.9675,0.9170,0.8553,0.7892,0.7267,0.6695,0.6147,0.5619,0.5070,0.4591,0.4158,0.3705,0.3338,0.2980,0.2732,0.2451,0.2242,0.2080,0.1936,0.1800,0.1688,0.1615,0.1527,0.1452,0.1417,0.1365,0.1359,0.1309,0.1268,0.1248,0.1226,0.1205,0.1187,0.1183,0.1168,0.1151,As stood again.  They were all; Gratta was certain that was\na good as the Tuon Tribes would like to
0.0003,8,512,128,48,6,"[6144, 86]",0.16432569921016693,4422.732807159424,4.5927,2.4790,2.3044,1.9503,1.7183,1.5644,1.4466,1.3444,1.2518,1.1682,1.0933,1.0139,0.9256,0.8514,0.7695,0.6808,0.6158,0.5363,0.4614,0.4053,0.3451,0.2993,0.2644,0.2299,0.2051,0.1842,0.1679,0.1587,0.1481,0.1419,0.1364,0.1328,0.1282,0.1252,0.1224,0.1210,0.1171,0.1168,0.1157,0.1138,0.1123,0.1110,0.1096,0.1078,0.1075,0.1070,0.1053,0.1059,0.1040,0.1034,"Gratta turned to Aidden, ""Do you have a hundred tuons in warcrating\nfor I come to your my princes, b"
0.0003,8,512,64,64,4,"[4096, 86]",0.3672126531600952,971.1854104995728,4.6518,2.4086,2.0358,1.7887,1.6273,1.5129,1.4349,1.3555,1.3025,1.2356,1.1732,1.1253,1.0745,1.0294,0.9816,0.9329,0.8794,0.8330,0.7956,0.7432,0.7001,0.6605,0.6200,0.5843,0.5452,0.5100,0.4803,0.4520,0.4257,0.4021,0.3743,0.3599,0.3403,0.3259,0.3067,0.2923,0.2828,0.2727,0.2657,0.2566,0.2481,0.2403,0.2358,0.2309,0.2250,0.2215,0.2191,0.2126,0.2126,0.2106,"us?""\n""Stand.""\n""Very well. ""Then words twenty men if was the nearly\n, do the seat here of all that ma"
0.0003,8,512,64,64,6,"[4096, 86]",0.28236091136932373,1298.4482493400574,4.5373,2.4228,2.0365,1.7647,1.5852,1.4698,1.3760,1.2912,1.2219,1.1513,1.0921,1.0322,0.9706,0.9065,0.8525,0.7912,0.7318,0.6765,0.6228,0.5701,0.5255,0.4906,0.4478,0.4109,0.3803,0.3520,0.3310,0.3088,0.2955,0.2780,0.2663,0.2550,0.2471,0.2378,0.2362,0.2239,0.2212,0.2160,0.2128,0.2111,0.2068,0.2039,0.2002,0.2003,0.1975,0.1973,0.1950,0.1927,0.1913,0.1903,"berested something into the city.""\nGratta nodded to his assent.\n34\nCHAPTER IIII\nTHE PEACE\nSEANCERAL"
0.0003,8,512,128,64,4,"[8192, 86]",0.18988539278507233,1327.8092732429504,4.6115,2.4570,2.2204,1.8997,1.6953,1.5576,1.4384,1.3403,1.2614,1.1863,1.1106,1.0437,0.9655,0.8989,0.8237,0.7571,0.6888,0.6202,0.5485,0.4892,0.4328,0.3801,0.3325,0.2934,0.2603,0.2331,0.2097,0.1905,0.1770,0.1647,0.1551,0.1455,0.1417,0.1336,0.1317,0.1277,0.1237,0.1209,0.1188,0.1170,0.1153,0.1135,0.1126,0.1106,0.1102,0.1087,0.1084,0.1070,0.1059,0.1051,"and a small smile and said, ""You brought another, we\nshall rejoice that we have done. You will dober"
0.0003,8,512,128,64,6,"[8192, 86]",0.15893268585205078,1915.7650866508484,4.6641,2.4676,2.2716,1.8913,1.6630,1.5088,1.3742,1.2674,1.1660,1.0762,0.9798,0.8847,0.7936,0.6974,0.6101,0.5221,0.4415,0.3736,0.3102,0.2672,0.2255,0.1964,0.1795,0.1604,0.1497,0.1414,0.1324,0.1287,0.1248,0.1203,0.1187,0.1165,0.1136,0.1129,0.1109,0.1092,0.1074,0.1065,0.1063,0.1050,0.1039,0.1032,0.1020,0.1012,0.1007,0.0998,0.1002,0.0994,0.0981,0.0983,"strategies from his company to look at the scent of\nsquare, O darts!"" When turned and we move so qui"
0.0003,12,768,64,48,4,"[3072, 86]",0.2903788387775421,1004.4348895549774,4.6597,2.3980,1.9920,1.7419,1.5757,1.4670,1.3793,1.2956,1.2308,1.1610,1.0979,1.0404,0.9900,0.9227,0.8667,0.8052,0.7479,0.6960,0.6437,0.5921,0.5461,0.5019,0.4589,0.4261,0.3924,0.3648,0.3328,0.3178,0.3023,0.2823,0.2666,0.2617,0.2523,0.2402,0.2386,0.2290,0.2240,0.2209,0.2136,0.2121,0.2111,0.2051,0.2028,0.2039,0.1988,0.1974,0.1948,0.1940,0.1929,0.1921,"""Holding this man?\nWater it Anayah asked after the gates. Gratta was\nstarting to swe had been joined"
0.0003,12,768,64,48,6,"[3072, 86]",0.24993109703063965,1335.300225019455,4.6112,2.4409,2.0449,1.7623,1.5809,1.4587,1.3462,1.2590,1.1809,1.1077,1.0373,0.9629,0.8872,0.8243,0.7627,0.6862,0.6256,0.5675,0.5096,0.4579,0.4170,0.3838,0.3471,0.3250,0.3050,0.2875,0.2720,0.2618,0.2484,0.2391,0.2325,0.2274,0.2207,0.2152,0.2158,0.2117,0.2078,0.2056,0.2027,0.2002,0.1962,0.1964,0.1948,0.1926,0.1905,0.1919,0.1894,0.1881,0.1875,0.1864,"Clans and expect them to -Biber ence is and everyone, he surprised\nas the remaining warriors said, a"
0.0003,12,768,128,48,4,"[6144, 86]",0.1567273586988449,1615.442787885666,4.4957,2.4558,2.2158,1.8349,1.6168,1.4611,1.3429,1.2456,1.1460,1.0520,0.9543,0.8623,0.7721,0.6779,0.5839,0.4895,0.4113,0.3491,0.2883,0.2468,0.2109,0.1854,0.1668,0.1528,0.1458,0.1374,0.1298,0.1267,0.1218,0.1206,0.1166,0.1128,0.1113,0.1110,0.1099,0.1080,0.1067,0.1063,0.1052,0.1033,0.1040,0.1024,0.1009,0.1002,0.1006,0.0997,0.0996,0.0983,0.0978,0.0985,"cubity in only two hours!"" Beriyah\nlooked at Gratta, held his gaze, and said, ""I could name a\ndouble"
0.0003,12,768,128,48,6,"[6144, 86]",0.1333049088716507,2716.2841811180115,4.6433,2.4772,2.2778,1.8760,1.6162,1.4458,1.3071,1.1794,1.0623,0.9492,0.8255,0.7092,0.5939,0.4851,0.3912,0.3126,0.2576,0.2140,0.1841,0.1620,0.1512,0.1414,0.1345,0.1283,0.1245,0.1202,0.1179,0.1142,0.1126,0.1124,0.1088,0.1080,0.1073,0.1065,0.1051,0.1035,0.1032,0.1028,0.1016,0.1017,0.1016,0.1008,0.0998,0.0994,0.0980,0.0983,0.0972,0.0964,0.0971,0.0965,75\nSEAN McKAY\nWO DENEMY\nturned to face again emy faced two was silent a\nster there. His father's for
0.0003,12,768,64,64,4,"[4096, 86]",0.24413804709911346,1103.4313702583313,4.5948,2.3673,1.9006,1.6618,1.5071,1.3836,1.2950,1.2077,1.1290,1.0555,0.9877,0.9116,0.8466,0.7759,0.7080,0.6392,0.5706,0.5191,0.4703,0.4209,0.3818,0.3481,0.3250,0.2996,0.2793,0.2644,0.2508,0.2417,0.2327,0.2263,0.2214,0.2159,0.2131,0.2065,0.2053,0.2010,0.1985,0.1957,0.1950,0.1938,0.1905,0.1890,0.1880,0.1865,0.1859,0.1857,0.1833,0.1833,0.1812,0.1812,"would not have capture his bed within. ""I will take\nthese within."" Taka dropped to alerfude that gav"
0.0003,12,768,64,64,6,"[4096, 86]",0.2307611107826233,1505.6585018634796,4.5617,2.4118,1.9775,1.6879,1.5148,1.3781,1.2694,1.1743,1.0829,0.9936,0.9095,0.8248,0.7393,0.6538,0.5756,0.5143,0.4555,0.3979,0.3609,0.3315,0.3003,0.2772,0.2595,0.2448,0.2378,0.2280,0.2221,0.2161,0.2100,0.2062,0.2013,0.1999,0.1982,0.1958,0.1920,0.1930,0.1896,0.1892,0.1871,0.1867,0.1848,0.1846,0.1817,0.1814,0.1809,0.1811,0.1813,0.1785,0.1779,0.1795,"Gratta turned to controe of\nthe centered and seemed the city infection their hearts.\n""Do the Pyrran"
0.0003,12,768,128,64,4,"[8192, 86]",0.13747638463974,2241.2659220695496,4.6158,2.4422,2.1467,1.7711,1.5524,1.3955,1.2740,1.1528,1.0496,0.9359,0.8219,0.7121,0.5981,0.4944,0.3975,0.3176,0.2574,0.2179,0.1839,0.1629,0.1465,0.1391,0.1311,0.1264,0.1208,0.1177,0.1147,0.1144,0.1120,0.1083,0.1066,0.1070,0.1045,0.1027,0.1021,0.1011,0.1009,0.0991,0.0990,0.0990,0.0978,0.0969,0.0968,0.0963,0.0948,0.0952,0.0944,0.0944,0.0941,0.0937,"Arphad.\n""Ten not worry, unless I had a faster secution, but I so what consideringly into the hills\no"
0.00025,8,512,64,48,4,"[3072, 86]",0.47859540581703186,606.932816028595,4.6709,2.4498,2.1656,1.9022,1.7408,1.6233,1.5347,1.4747,1.4140,1.3603,1.3121,1.2678,1.2274,1.1896,1.1455,1.1146,1.0815,1.0411,1.0064,0.9668,0.9307,0.8988,0.8625,0.8322,0.7962,0.7596,0.7262,0.6974,0.6715,0.6434,0.6083,0.5818,0.5525,0.5274,0.5075,0.4852,0.4626,0.4406,0.4269,0.4001,0.3833,0.3761,0.3541,0.3423,0.3318,0.3204,0.3056,0.3022,0.2905,0.2860,"moen closely and so the encounter. ""There. We should\nrouse quickly through.."" Anodded and looked at"
0.00025,8,512,64,48,6,"[3072, 86]",0.35232213139533997,796.2952983379364,4.5922,2.4454,2.1511,1.8840,1.7074,1.5786,1.4880,1.4034,1.3463,1.2838,1.2287,1.1816,1.1290,1.0890,1.0438,1.0018,0.9485,0.9071,0.8658,0.8187,0.7759,0.7409,0.6929,0.6527,0.6154,0.5720,0.5431,0.5026,0.4742,0.4445,0.4170,0.3921,0.3709,0.3503,0.3330,0.3179,0.3078,0.2931,0.2782,0.2736,0.2618,0.2542,0.2488,0.2413,0.2379,0.2291,0.2247,0.2218,0.2201,0.2155,"his day Arphad smiled and said to the walls, the\nTuon Council was about to me tweakes next to him. G"
0.00025,8,512,128,48,4,"[6144, 86]",0.26230499148368835,975.3630149364471,4.5747,2.4822,2.3273,2.0309,1.8190,1.6801,1.5739,1.4897,1.4027,1.3324,1.2701,1.2093,1.1582,1.1038,1.0511,1.0059,0.9497,0.8933,0.8415,0.7852,0.7315,0.6835,0.6273,0.5791,0.5290,0.4918,0.4478,0.4023,0.3664,0.3323,0.3057,0.2784,0.2532,0.2350,0.2158,0.2002,0.1869,0.1755,0.1640,0.1604,0.1523,0.1469,0.1394,0.1378,0.1344,0.1311,0.1281,0.1259,0.1232,0.1216,"Gratta had gone a convenaptions ensued.""\n""Startered, so that the darkness in the purvats when the cu"
0.00025,8,512,128,48,6,"[6144, 86]",0.1841936856508255,1358.1053285598755,4.7085,2.4803,2.3285,2.0040,1.7896,1.6217,1.5052,1.4005,1.3172,1.2387,1.1640,1.0989,1.0332,0.9610,0.8821,0.8070,0.7354,0.6605,0.5988,0.5318,0.4673,0.4083,0.3588,0.3074,0.2733,0.2417,0.2157,0.1946,0.1809,0.1644,0.1542,0.1491,0.1416,0.1371,0.1309,0.1289,0.1260,0.1236,0.1209,0.1185,0.1173,0.1145,0.1139,0.1126,0.1118,0.1106,0.1095,0.1101,0.1070,0.1073,"nearly have them honor. GrWhen they already the tuons, gray\ndiead the gathered to Yehu, sir!""\nGratta"
0.00025,8,512,64,64,4,"[4096, 86]",0.4205390214920044,684.8831789493561,4.6322,2.4455,2.1084,1.8469,1.6955,1.5850,1.4982,1.4212,1.3600,1.2979,1.2542,1.2054,1.1622,1.1137,1.0708,1.0295,0.9892,0.9439,0.9043,0.8673,0.8249,0.7931,0.7557,0.7191,0.6788,0.6421,0.6116,0.5737,0.5460,0.5201,0.4910,0.4625,0.4426,0.4151,0.3958,0.3776,0.3619,0.3435,0.3285,0.3141,0.3051,0.2920,0.2806,0.2736,0.2632,0.2562,0.2487,0.2444,0.2400,0.2359,"swarm that must."" The between Taka was guarded\nby to them, we will assue my general? We did not have"
0.00025,8,512,64,64,6,"[4096, 86]",0.3052957355976105,1045.4170651435852,4.6351,2.4290,2.0822,1.8107,1.6283,1.5181,1.4153,1.3438,1.2682,1.2116,1.1471,1.0977,1.0359,0.9847,0.9263,0.8833,0.8296,0.7701,0.7239,0.6721,0.6258,0.5750,0.5349,0.5000,0.4600,0.4291,0.3989,0.3673,0.3448,0.3204,0.3066,0.2902,0.2725,0.2635,0.2551,0.2453,0.2398,0.2320,0.2275,0.2233,0.2182,0.2147,0.2100,0.2091,0.2053,0.2016,0.2001,0.1984,0.1971,0.1951,"far Yah Elyon will deces, myself as you do taken to their\nplacks. General Beriyah as he had man sold"
0.00025,8,512,128,64,4,"[8192, 86]",0.22688081860542297,1228.3273537158966,4.5566,2.4744,2.2910,1.9843,1.7744,1.6354,1.5278,1.4337,1.3675,1.2922,1.2223,1.1579,1.0975,1.0362,0.9767,0.9147,0.8584,0.7867,0.7288,0.6680,0.6122,0.5527,0.4944,0.4475,0.3972,0.3562,0.3201,0.2842,0.2556,0.2338,0.2142,0.1946,0.1823,0.1685,0.1623,0.1526,0.1464,0.1400,0.1362,0.1323,0.1296,0.1237,0.1240,0.1209,0.1187,0.1172,0.1155,0.1150,0.1123,0.1127,"Gratta's stomach growled into the river, his\nfront perhaps with the doors and trees and detail said,"
0.00025,8,512,128,64,6,"[8192, 86]",0.1643008291721344,1901.5075662136078,4.5996,2.4695,2.2931,1.9514,1.7181,1.5653,1.4447,1.3348,1.2483,1.1656,1.0827,1.0069,0.9155,0.8289,0.7520,0.6622,0.5862,0.5128,0.4348,0.3748,0.3164,0.2669,0.2332,0.2048,0.1823,0.1684,0.1588,0.1471,0.1373,0.1348,0.1287,0.1250,0.1213,0.1186,0.1170,0.1145,0.1140,0.1119,0.1099,0.1086,0.1085,0.1069,0.1066,0.1060,0.1039,0.1033,0.1020,0.1016,0.1017,0.1006,"as well.""\n""Yes, sir!"" one of the waater crowd as the forest.\nSome were starting to scorch. He kicked"
