LR,Heads,Embeddings,Block Size,Batch Size,Layers,Size,final_loss,total_training_time,Step 0 Loss,Step 100 Loss,Step 200 Loss,Step 300 Loss,Step 400 Loss,Step 500 Loss,Step 600 Loss,Step 700 Loss,Step 800 Loss,Step 900 Loss,Step 1000 Loss,Step 1100 Loss,Step 1200 Loss,Step 1300 Loss,Step 1400 Loss,Generated Text
0.0006,8,512,32,64,4,"[2048, 86]",1.1747682094573975,155.6673538684845,4.6731,2.1680,1.8509,1.6811,1.5748,1.4925,1.4278,1.3826,1.3454,1.2986,1.2568,1.2279,1.1904,1.1446,1.1158,"Clans of your respone for a deairectly menn. Kemanna, nor to aleap.\nTuon Could hard watched and he s"
0.0006,8,512,32,64,6,"[2048, 86]",1.1596503257751465,214.94158959388733,4.5231,2.2730,1.8710,1.6847,1.5695,1.4834,1.4114,1.3584,1.3093,1.2624,1.2197,1.1804,1.1538,1.1048,1.0776,General Beanully show four cubs you\nwould laughed ush. You\nShe High Priest seend its herdid\ninto a p
0.0006,8,512,64,64,2,"[4096, 86]",1.0968436002731323,122.4947395324707,4.6436,2.2547,1.8766,1.6772,1.5586,1.4558,1.3744,1.3064,1.2547,1.1945,1.1428,1.0918,1.0449,1.0032,0.9623,"ir recover. ""But it the\nshart!""\n""I will no Do now say that intempt into their cwosts cattle\nthere, c"
0.0006,8,512,64,64,4,"[4096, 86]",0.9341509938240051,224.01372861862183,4.6258,2.3073,1.8355,1.6116,1.4825,1.3633,1.2778,1.2044,1.1255,1.0541,0.9958,0.9281,0.8707,0.8081,0.7419,"writted, ""Are the other rattled through. The stand, then we\nmay get looked away. Gratta taket the tr"
0.0006,8,512,64,64,6,"[4096, 86]",0.8188768029212952,324.38254404067993,4.6141,2.3823,1.9040,1.6366,1.4911,1.3634,1.2591,1.1756,1.0863,1.0112,0.9319,0.8644,0.7868,0.7192,0.6516,"kind turned to look at Gor and said, ""General Beriyah to\ncome, see that circh you, but we have relie"
0.0006,8,512,128,64,2,"[8192, 86]",0.8536800146102905,204.73924446105957,4.5528,2.4051,1.9865,1.7085,1.5295,1.3930,1.2984,1.2006,1.1109,1.0251,0.9534,0.8728,0.7983,0.7302,0.6683,"toward Gor, Anayah his father. River they were desliver and motioned to\nthe men slavities.\nGratta fo"
0.0006,8,512,128,64,4,"[8192, 86]",0.577018678188324,350.4210412502289,4.5577,2.4228,1.9668,1.6398,1.4401,1.2954,1.1721,1.0541,0.9508,0.8452,0.7310,0.6393,0.5315,0.4457,0.3672,"they not song?"" Gratta said this head and brought\nthe hills. ""Company the birds in way the days of T"
0.0006,8,512,128,64,6,"[8192, 86]",0.4331737160682678,483.61215329170227,4.6921,2.4588,2.0941,1.6768,1.4587,1.2781,1.1326,1.0077,0.8685,0.7334,0.6132,0.4889,0.3907,0.3086,0.2462,"body th. The ground halves of darts whippened even\ntonight us."" Perhaps on sittives with details and"
0.0006,12,768,32,32,2,"[1024, 86]",1.4329149723052979,98.00306797027588,4.5590,2.1893,1.9313,1.7844,1.6939,1.6368,1.5862,1.5531,1.4938,1.4730,1.4284,1.3967,1.3759,1.3469,1.3249,"""Chief Arphad least\nfemy took the day this deed yelloward was done of the\nnanew on hiltsw been it la"
0.0006,12,768,32,32,4,"[1024, 86]",1.423838496208191,182.0406150817871,4.7087,2.3104,2.0064,1.8411,1.7309,1.6530,1.5908,1.5388,1.5093,1.4637,1.4186,1.3900,1.3595,1.3315,1.2987,"WGE OF THE PYRRAN McKAY\n""We saly king you'd befodded, we will\nas with a gear Pyrran that than talked"
0.0006,12,768,32,32,6,"[1024, 86]",1.4259692430496216,265.9350552558899,4.5624,2.4973,2.0998,1.9426,1.8238,1.7476,1.6737,1.6154,1.5665,1.5330,1.4955,1.4563,1.4244,1.4030,1.3894,Pilisipen Eling was that the fronter obathing a tright. Gratta glooked the was at this gatta to look
0.0006,12,768,64,32,2,"[2048, 86]",1.1272555589675903,126.50748872756958,4.6197,2.2687,1.8860,1.6981,1.5833,1.5012,1.4287,1.3648,1.3082,1.2587,1.2176,1.1658,1.1225,1.0833,1.0478,oSe Namal and rear bent. No dough they come the once\n•\nAs and enemieuw while coulAnd away. We wenty
0.0006,12,768,64,32,4,"[2048, 86]",1.1339960098266602,239.40665316581726,4.6073,2.4536,2.0242,1.8067,1.6338,1.5267,1.4404,1.3784,1.3022,1.2545,1.1922,1.1489,1.0957,1.0519,0.9961,"to all sparty this""\nChief Arphad was a aged, and blest a sung than\nthem soldier buations who stuonde"
0.0006,12,768,64,32,6,"[2048, 86]",1.0993516445159912,349.1967852115631,4.6190,2.5101,2.1124,1.8663,1.6999,1.5829,1.4873,1.3991,1.3348,1.2824,1.2200,1.1598,1.1207,1.0614,1.0122,"Stanged faithful. Whething Aidden the saying,\nanyt Arphad sounding to chief the Pyrran Clan\nwas he w"
0.0006,12,768,128,32,2,"[4096, 86]",0.8336973190307617,205.1356565952301,4.6050,2.4199,1.9985,1.7197,1.5538,1.4308,1.3303,1.2456,1.1533,1.0791,1.0131,0.9335,0.8597,0.7853,0.7088,"wayed, Vorwhere will rescrated such one mor tosign,\nand jumpered for a chose could not like that kno"
0.0006,12,768,128,32,4,"[4096, 86]",0.6855355501174927,382.64194440841675,4.6433,2.4708,2.1466,1.7965,1.5901,1.4336,1.3109,1.2000,1.1037,1.0012,0.9070,0.8026,0.7156,0.6086,0.5298,"to eavil! There Judge fore the cubs over allong in the bance,\nand he maeuws they looked direction.\nG"
0.0006,12,768,128,32,6,"[4096, 86]",0.7065109014511108,458.71340346336365,4.6836,2.5580,2.3980,2.0492,1.7698,1.5804,1.4434,1.3020,1.1875,1.0818,0.9816,0.8765,0.7641,0.6683,0.5613,will involdie do and downed to at the Pyrran Clans.\nThey are land them to five leg the priouse the w
0.0006,12,768,32,48,2,"[1536, 86]",1.2948888540267944,110.33412671089172,4.6680,2.1132,1.8434,1.7210,1.6089,1.5367,1.4966,1.4351,1.4093,1.3634,1.3344,1.2996,1.2611,1.2420,1.2254,"a\n14: I continued out,"" she weat\n60\nCHAPTER V – A NEW ENEKING AVARD\nSEAN McKAY\nnow that he molds.""\n7"
0.0006,12,768,32,48,4,"[1536, 86]",1.277913212776184,204.33344411849976,4.6152,2.2488,1.9037,1.7461,1.6341,1.5445,1.4844,1.4209,1.3830,1.3341,1.3026,1.2666,1.2311,1.2039,1.1786,"You man down. How Snodded up any his will cleant have tuons should.\nGratta deed band turne. ""May alc"
0.0006,12,768,32,48,6,"[1536, 86]",1.3150818347930908,299.63802123069763,4.6035,2.4076,2.0393,1.8341,1.6958,1.5999,1.5372,1.4682,1.4181,1.3852,1.3385,1.2916,1.2642,1.2228,1.2022,"no such die back, para smalled. ""Be as our faces\nboweS\nfor a smilent. The\nmeembers hearing couldn't"
0.0006,12,768,64,48,2,"[3072, 86]",1.020402193069458,159.96174502372742,4.6072,2.1877,1.8155,1.6141,1.5000,1.4044,1.3347,1.2616,1.2094,1.1434,1.0909,1.0382,0.9915,0.9413,0.8844,"""Soon had since\nworthy preopled to ret!""\nAnayah maeuw barelief to anger and his amoned all\nfort slau"
0.0006,12,768,64,48,4,"[3072, 86]",0.9254367351531982,300.6884574890137,4.6624,2.3451,1.8856,1.6553,1.4928,1.3901,1.2930,1.2083,1.1425,1.0698,0.9948,0.9347,0.8602,0.8009,0.7447,But we could belax sung. He left agrable they delegation of\na Gratta's saw these Prince's tattacknes
0.0006,12,768,64,48,6,"[3072, 86]",0.8937046527862549,430.7166316509247,4.6695,2.5567,2.1380,1.8186,1.6209,1.4913,1.3847,1.2853,1.2046,1.1337,1.0552,0.9819,0.9216,0.8416,0.7769,"anstorthereing with his treatying, with\na human's ways contr of Kracter hn a motione growlenter for"
0.0006,12,768,128,48,2,"[6144, 86]",0.6662073731422424,266.21761894226074,4.6492,2.3797,1.9067,1.6376,1.4639,1.3286,1.2191,1.1175,1.0241,0.9244,0.8225,0.7307,0.6369,0.5519,0.4710,"that shoulders! The humans!\nWhen the maeuw remeant a sug solt, claing to see\nof we touch large to th"
0.0006,12,768,128,48,4,"[6144, 86]",0.44409146904945374,460.9851677417755,4.6345,2.4623,2.0687,1.7149,1.4948,1.3241,1.1876,1.0558,0.9315,0.8077,0.6835,0.5623,0.4563,0.3580,0.2918,"even from in soldiers said, ""Everyon, that you were about\nseven we to cold ercoven the Pyrran seaso."
0.0006,12,768,128,48,6,"[6144, 86]",0.33871445059776306,630.2075040340424,4.5685,2.5001,2.2260,1.8109,1.5378,1.3241,1.1589,1.0028,0.8490,0.7070,0.5669,0.4420,0.3355,0.2605,0.2098,parp across the Thas\nraised that he calse of the Yellowing Some. I five from the\nPyrran Clans are li
0.0006,12,768,32,64,2,"[2048, 86]",1.2289628982543945,128.0346863269806,4.5282,2.0529,1.7977,1.6466,1.5581,1.4771,1.4238,1.3750,1.3346,1.2909,1.2450,1.2157,1.1794,1.1518,1.1212,"curits two cost of the\nchill. Gratta and Arphad whisted, wwn they left, manoting days\nsenses at prop"
0.0006,12,768,32,64,4,"[2048, 86]",1.1272952556610107,1029.4005579948425,4.5645,2.1828,1.8684,1.6825,1.5683,1.4789,1.4164,1.3587,1.3005,1.2631,1.2167,1.1679,1.1307,1.0981,1.0556,"leg down out and lead on your fusture, my\nwill camp to the summove, Gratta had he had\nshourse, as he"
0.0006,12,768,32,64,6,"[2048, 86]",1.144514799118042,384.30591559410095,4.6047,2.4268,2.0238,1.7931,1.6633,1.5618,1.4803,1.4229,1.3551,1.3144,1.2628,1.2163,1.1782,1.1356,1.1038,"off that wet cras and missition,\nand we polday, I shall be this outse may a\ntreaty for yebraps. This"
0.0006,12,768,64,64,2,"[4096, 86]",0.9046090841293335,203.17215967178345,4.6340,2.1576,1.7605,1.5641,1.4490,1.3404,1.2707,1.1920,1.1164,1.0522,0.9893,0.9248,0.8616,0.8078,0.7521,"looking the tent in war rewindnession from this danger.\nVerooshta had, fould the swerwhelmed before"
0.0006,12,768,64,64,4,"[4096, 86]",0.7668727040290833,378.69186425209045,4.5764,2.3561,1.8612,1.6134,1.4493,1.3249,1.2320,1.1351,1.0566,0.9664,0.8931,0.8121,0.7306,0.6585,0.5890,"said, ""I mine have bit"" a ground pat a wall them before\nwe red. He no smiled for him to face back, a"
0.0006,12,768,64,64,6,"[4096, 86]",0.7075973749160767,537.0908410549164,4.6610,2.5381,2.0781,1.7539,1.5565,1.4124,1.2924,1.1889,1.0849,1.0006,0.9132,0.8203,0.7482,0.6532,0.5766,"bound wanting on hour faced.\n""So hund them in; a'ven Thas we can ambult be worde impreated,\nand a gr"
0.0006,12,768,128,64,2,"[8192, 86]",0.5227925181388855,325.2720205783844,4.5517,2.3701,1.8766,1.5995,1.4216,1.2724,1.1512,1.0268,0.9131,0.7951,0.6857,0.5719,0.4813,0.3893,0.3183,"timate a Muzite clearly mited tuon, as no you have and mids\nwell have no much doubt on the Pyrran Cl"
0.0006,12,768,128,64,4,"[8192, 86]",0.2996281683444977,592.6065928936005,4.6320,2.4257,1.9494,1.6023,1.3775,1.1952,1.0340,0.8677,0.7140,0.5633,0.4325,0.3202,0.2457,0.1956,0.1673,"""Yes, sir!"" Gor ran to their ran attacked through his\ntroops out and slaves. The cubs were surroundi"
0.0003,6,384,32,32,2,"[1024, 86]",1.5747275352478027,55.56098484992981,4.6593,2.5121,2.2248,2.0615,1.9469,1.8685,1.8060,1.7472,1.7026,1.6715,1.6381,1.6171,1.5916,1.5613,1.5522,"that allose aget to beth. Namal as find, and he tifters. King on, a but\nyour cause turned,\nsisase we"
0.0003,6,384,32,32,4,"[1024, 86]",1.426742434501648,97.97266101837158,4.6250,2.4649,2.1789,1.9844,1.8764,1.7803,1.7105,1.6500,1.6196,1.5723,1.5415,1.5065,1.4834,1.4556,1.4466,"whele low, ago wall is ha can soun the turned. The\ntellariy retore not difter in. Pelana a\nchambes f"
0.0003,6,384,32,32,6,"[1024, 86]",1.4135346412658691,142.16499781608582,4.5816,2.4541,2.1530,1.9616,1.8489,1.7588,1.6678,1.6262,1.5697,1.5430,1.4956,1.4713,1.4335,1.4129,1.3865,"""Wouncil unteremed. Aidden they anythang to plose have as Thas Crills\nwithouty.\n""Hribed you are pals"
0.0003,6,384,64,32,2,"[2048, 86]",1.529345154762268,63.221837520599365,4.5898,2.5134,2.3267,2.1076,1.9654,1.8549,1.7856,1.7126,1.6560,1.6100,1.5733,1.5346,1.5106,1.4696,1.4459,"emcal me mowned. He looked fly, step your! The focems, and. I\nmake fare so fwom them, this took way"
